逻辑槽位,厂家腔号,网络,方向,对端,回流/注意
B01,H：厂家腔号未确认,12V_IN_A,输入,12V 配电正极,等规格并联
B02,H：厂家腔号未确认,12V_IN_B,输入,12V 配电正极,等规格并联
B03,H：厂家腔号未确认,12V_IN_C,输入,12V 配电正极,等规格并联
B04,H：厂家腔号未确认,12V_IN_D,输入,12V 配电正极,等规格并联
B05,H：厂家腔号未确认,PWR_RETURN_A,功率回流,12V 配电地,不借信号地
B06,H：厂家腔号未确认,PWR_RETURN_B,功率回流,12V 配电地,不借信号地
B07,H：厂家腔号未确认,PWR_RETURN_C,功率回流,12V 配电地,不借信号地
B08,H：厂家腔号未确认,PWR_RETURN_D,功率回流,12V 配电地,不借信号地
B09,H：厂家腔号未确认,K1_OUT,输出,负载1正极,负载负线回外部汇流排
B10,H：厂家腔号未确认,K2_OUT,输出,负载2正极,负载负线回外部汇流排
B11,H：厂家腔号未确认,K3_OUT,输出,负载3正极,负载负线回外部汇流排
B12,H：厂家腔号未确认,K4_OUT,输出,负载4正极,负载负线回外部汇流排
B13,H：厂家腔号未确认,K5_OUT,输出,负载5正极,负载负线回外部汇流排
B14,H：厂家腔号未确认,K6_OUT,输出,负载6正极,负载负线回外部汇流排
B15,H：厂家腔号未确认,K7_OUT,输出,负载7正极,负载负线回外部汇流排
B16,H：厂家腔号未确认,K8_OUT,输出,负载8正极,负载负线回外部汇流排
B17,H：厂家腔号未确认,LOCK_PWR_OUT,输出,锁正极,LOCK_RETURN
B18,H：厂家腔号未确认,LOCK_RETURN,回流,锁负极,板内 PGND
B19,H：厂家腔号未确认,ACT_OUT1,双向功率,推杆线1,与 OUT2 成对，不接地
B20,H：厂家腔号未确认,ACT_OUT2,双向功率,推杆线2,与 OUT1 成对，不接地
B21,H：厂家腔号未确认,CAN1_H,双向,主干 H,与 L 双绞
B22,H：厂家腔号未确认,CAN1_L,双向,主干 L,与 H 双绞
B23,H：厂家腔号未确认,CAN1_REF,参考,主干参考地,非负载回流
B24,H：厂家腔号未确认,CAN2_H,双向,扩展 H,与 L 双绞
B25,H：厂家腔号未确认,CAN2_L,双向,扩展 L,与 H 双绞
B26,H：厂家腔号未确认,CAN2_REF,参考,扩展参考地,非负载回流
B27,H：厂家腔号未确认,BCM_TX,输出,对端 RX,电平 H
B28,H：厂家腔号未确认,BCM_RX,输入,对端 TX,电平 H
B29,H：厂家腔号未确认,UART_REF,参考,对端参考地,非负载回流
B30,H：厂家腔号未确认,WAKE_IN,输入,12V 唤醒请求,调理；与系统参考地同域
B31,H：厂家腔号未确认,ESTOP_SENSE,检测,独立辅助 NC,ESTOP_RETURN
B32,H：厂家腔号未确认,ESTOP_RETURN,检测回流,独立辅助 NC,不加载 VCU 主链
B33,H：厂家腔号未确认,LOCK_SENSE,检测,SM60E 白线1,反馈电气 H；限流辨识
B34,H：厂家腔号未确认,LOCK_SENSE_RETURN,检测回流,SM60E 白线2,非锁功率负线
B35,H：厂家腔号未确认,RESERVED,不接,空腔堵头,禁止私接电源
