实体脚,引脚名,网络名,功能/方向,外部默认/处理,备注
1,PE2,K1_REQ,输出,下拉；门控后驱动,急停切断
2,PE3,K2_REQ,输出,下拉；门控后驱动,K2 散热例外路径
3,PE4,K3_REQ,输出,下拉；门控后驱动,急停切断
4,PE5,K4_REQ,输出,下拉；门控后驱动,急停切断
5,PE6,K5_REQ,输出,下拉；门控后驱动,急停切断
6,VBAT,3V3_LOGIC,备份域电源,100nF,无后备电池基线
7,PC13,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
8,PC14-OSC32_IN,LSE_DNP,可选 RTC,不用时 NC,无默认 32k 晶体
9,PC15-OSC32_OUT,LSE_DNP,可选 RTC,不用时 NC,无默认 32k 晶体
10,PF9,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
11,PF10,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
12,PF0-OSC_IN,HSE_IN,主时钟,晶体/CL/ESR 待选,H：CAN 时钟精度
13,PF1-OSC_OUT,HSE_OUT,主时钟,晶体/CL/ESR 待选,H：CAN 时钟精度
14,PG10-NRST,NRST,复位,10k 上拉+100nF,监督开漏；保留复位功能
15,PC0,ACT_EN_REQ,输出,缓冲后 2.2k 下拉,掉电 Ioff/反灌待核验
16,PC1,ACT_D1_REQ,输出,高禁止，芯片侧上拉,与 EN/D2 独立默认禁止
17,PC2,ACT_D2_REQ,输出,缓冲后 2.2k 下拉,掉电 Ioff/反灌待核验
18,PC3,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
19,PF2,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
20,PA0,VIN_ADC,ADC1_IN1,限幅/滤波，范围待核验,D 分配；复用信号已核验
21,PA1,K1_ADC,ADC1_IN2,限幅/滤波，范围待核验,D 分配；复用信号已核验
22,PA2,ACT_FB_ADC,ADC1_IN3,限幅/滤波，范围待核验,D 分配；复用信号已核验
23,VSS,GND,地,低阻回流,V 脚位
24,VDD,3V3_LOGIC,供电,100nF/脚,V 脚位；D 去耦
25,PA3,LOCK_I_ADC,ADC1_IN4,限幅/滤波，范围待核验,D 分配；复用信号已核验
26,PA4,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
27,PA5,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
28,PA6,ACT_IN1_REQ,输出,缓冲后 2.2k 下拉,掉电 Ioff/反灌待核验
29,PA7,ACT_IN2_REQ,输出,缓冲后 2.2k 下拉,掉电 Ioff/反灌待核验
30,PC4,ACT_SF,输入/EXTI4,15k 上拉,开漏；禁止时也可低
31,PC5,LOCK_SENSE,输入/EXTI5,调理后本地电平,禁止直接接外部 12V
32,PB0,ESTOP_OK,输入/EXTI0,调理后本地电平,禁止直接接外部 12V
33,PB1,WAKE_LOGIC,输入/EXTI1,调理后本地电平,禁止直接接外部 12V
34,PB2,MODEM_RI,输入/EXTI2,调理后本地电平,禁止直接接外部 12V
35,VSSA,GND,地,低阻回流,V 脚位
36,VREF+,VREF_VDDA_PROPOSED,模拟参考,提议接 VDDA/去耦,H：电气手册与缓冲设置
37,VDDA,VDDA_3V3,模拟供电,100nF+1µF,D；时序 H
