板,信号,起点,终点,网络/条件,人工勾选
VCU,CAN1 TX,U101.109 (PD1),R3011 → U301.1,CAN1_TX / CAN1_TXD_PHY,____
VCU,CAN1 RX,U301.4,U101.108 (PD0),CAN1_RX,____
VCU,CAN2 TX,U101.67 (PB13),R3021 → U302.1,CAN2_TX / CAN2_TXD_PHY,____
VCU,CAN2 RX,U302.4,U101.66 (PB12),CAN2_RX,____
VCU,CAN3 TX,U101.99 (PA15),R3031 → U303.1,CAN3_TX / CAN3_TXD_PHY,____
VCU,CAN3 RX,U303.4,U101.89 (PA8),CAN3_RX,____
BCM,CAN1 TX,U101.83 (PD1),R3011 → U301.1,CAN1_TX / CAN1_TXD_PHY,____
BCM,CAN1 RX,U301.4,U101.82 (PD0),CAN1_RX,____
BCM,CAN2 TX,U101.52 (PB13),R3021 → U302.1,CAN2_TX / CAN2_TXD_PHY,____
BCM,CAN2 RX,U302.4,U101.51 (PB12),CAN2_RX,____
BCM,CAN1 独立唤醒,U301.4 / CAN1_RX,R3015 → U101.81 (PC12),EXTI12；不抢急停 EXTI0,____
VCU,MAX_SCK,U101.34 (PA5),R4101 → U401/U402/U403.4,MAX_SCK；三片共用,____
VCU,MAX_MOSI,U101.36 (PA7),R4102 → U401/U402/U403.6,MAX_MOSI；三片共用,____
VCU,MAX_MISO,U101.35 (PA6),直连 → U401/U402/U403.3,MAX_MISO；三片共用,____
VCU,MAX_CS_A,U101.1 (PE2),U401.5,MAX_CS_A,____
VCU,MAX_IRQ_A,U101.53 (PE7),U401.7,MAX_IRQ_A,____
VCU,MAX_RST_A,U101.4 (PE5),U401.8,MAX_RST_A,____
VCU,MAX_CS_B,U101.2 (PE3),U402.5,MAX_CS_B,____
VCU,MAX_IRQ_B,U101.54 (PE8),U402.7,MAX_IRQ_B,____
VCU,MAX_RST_B,U101.5 (PE6),U402.8,MAX_RST_B,____
VCU,MAX_CS_C,U101.3 (PE4),U403.5,MAX_CS_C,____
VCU,MAX_IRQ_C,U101.55 (PE9),U403.7,MAX_IRQ_C,____
VCU,MAX_RST_C,U101.26 (PF2),U403.8,MAX_RST_C,____
BCM,ACT FB,U401.8 → R4011/R4013/限幅 H,U101.22 (PA2),ACT_FB_ADC,____
