设备,MAX位号,通道,MAX_RX脚,MAX_TX脚,保护位号,状态
USONIC_1,U401,0,17,18,U710,H：外设电平/实体腔号
USONIC_2,U401,1,25,26,U711,H：外设电平/实体腔号
USONIC_3,U401,2,33,34,U712,H：外设电平/实体腔号
USONIC_4,U401,3,41,42,U713,H：外设电平/实体腔号
USONIC_5,U402,0,17,18,U714,H：外设电平/实体腔号
USONIC_6,U402,1,25,26,U715,H：外设电平/实体腔号
USONIC_7,U402,2,33,34,U716,H：外设电平/实体腔号
USONIC_8,U402,3,41,42,U717,H：外设电平/实体腔号
TOF_1,U403,0,17,18,U718,H：外设电平/实体腔号
TOF_2,U403,1,25,26,U719,H：外设电平/实体腔号
TOF_3,U403,2,33,34,U720,H：外设电平/实体腔号
TOF_4,U403,3,41,42,U721,H：外设电平/实体腔号
