板,位号,值/候选,端1网络,端2网络,说明,人工勾选
VCU,R2011,10.0k / 0.1%,5V_LOGIC,FB_U201,反馈上阻,
VCU,R2012,2.49k / 0.1%,FB_U201,GND,反馈下阻，靠 AGND,
VCU,C2011,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
VCU,C2012,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
VCU,C2013,100nF / 50V,12V_PROT,GND,近 VIN；MPN/封装 H,
VCU,C2014,47µF / 50V 非陶瓷,12V_PROT,GND,储能预留；ESR/MPN H,
VCU,C2015,GRM32ER71A476KE15L / 47µF 10V,5V_LOGIC,GND,有效电容必须达表 7-1,
VCU,C2016,GRM32ER71A476KE15L / 47µF 10V,5V_LOGIC,GND,有效电容必须达表 7-1,
VCU,C2017,100nF / 10V,5V_LOGIC,GND,近输出；MPN/封装 H,
VCU,R2021,10.0k / 0.1%,3V3_LOGIC,FB_U202,反馈上阻,
VCU,R2022,4.32k / 0.1%,FB_U202,GND,反馈下阻，靠 AGND,
VCU,C2021,GRM32ER71H106KA12L / 10µF 50V,5V_LOGIC,GND,资料推荐；偏压/容量复核,
VCU,C2022,GRM32ER71H106KA12L / 10µF 50V,5V_LOGIC,GND,资料推荐；偏压/容量复核,
VCU,C2023,100nF / 50V,5V_LOGIC,GND,近 VIN；MPN/封装 H,
VCU,C2024,47µF / 50V 非陶瓷,5V_LOGIC,GND,储能预留；ESR/MPN H,
VCU,C2025,GRM32ER71A476KE15L / 47µF 10V,3V3_LOGIC,GND,有效电容必须达表 7-1,
VCU,C2026,GRM32ER71A476KE15L / 47µF 10V,3V3_LOGIC,GND,有效电容必须达表 7-1,
VCU,C2027,100nF / 10V,3V3_LOGIC,GND,近输出；MPN/封装 H,
VCU,R2031,10.0k / 0.1%,5V_SENSOR_RAW,FB_U203,反馈上阻,
VCU,R2032,2.49k / 0.1%,FB_U203,GND,反馈下阻，靠 AGND,
VCU,C2031,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
VCU,C2032,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
VCU,C2033,100nF / 50V,12V_PROT,GND,近 VIN；MPN/封装 H,
VCU,C2034,47µF / 50V 非陶瓷,12V_PROT,GND,储能预留；ESR/MPN H,
VCU,C2035,GRM32ER71A476KE15L / 47µF 10V,5V_SENSOR_RAW,GND,有效电容必须达表 7-1,
VCU,C2036,GRM32ER71A476KE15L / 47µF 10V,5V_SENSOR_RAW,GND,有效电容必须达表 7-1,
VCU,C2037,100nF / 10V,5V_SENSOR_RAW,GND,近输出；MPN/封装 H,
VCU,R3011,33Ω,CAN1_TX,CAN1_TXD_PHY,源端串阻起始值,
VCU,R3012,10k,CAN1_TXD_PHY,3V3_LOGIC,TXD 上拉，空闲隐性,
VCU,R3013,10k,CAN1_STB,3V3_LOGIC,STB 上拉，默认待机,
VCU,C3011,100nF / 10V,5V_LOGIC,GND,VCC 近端,
VCU,C3012,1µF / 10V,5V_LOGIC,GND,VCC 储能,
VCU,C3013,100nF / 10V,3V3_LOGIC,GND,VIO 近端,
VCU,R3014,120Ω / 1% / 0.5W，默认 DNP,CAN1_H_BUS,CAN1_L_BUS,全总线只装两端,
VCU,R3021,33Ω,CAN2_TX,CAN2_TXD_PHY,源端串阻起始值,
VCU,R3022,10k,CAN2_TXD_PHY,3V3_LOGIC,TXD 上拉，空闲隐性,
VCU,R3023,10k,CAN2_STB,3V3_LOGIC,STB 上拉，默认待机,
VCU,C3021,100nF / 10V,5V_LOGIC,GND,VCC 近端,
VCU,C3022,1µF / 10V,5V_LOGIC,GND,VCC 储能,
VCU,C3023,100nF / 10V,3V3_LOGIC,GND,VIO 近端,
VCU,R3024,120Ω / 1% / 0.5W，默认 DNP,CAN2_H_BUS,CAN2_L_BUS,全总线只装两端,
VCU,R3031,33Ω,CAN3_TX,CAN3_TXD_PHY,源端串阻起始值,
VCU,R3032,10k,CAN3_TXD_PHY,3V3_LOGIC,TXD 上拉，空闲隐性,
VCU,R3033,10k,CAN3_STB,3V3_LOGIC,STB 上拉，默认待机,
VCU,C3031,100nF / 10V,5V_LOGIC,GND,VCC 近端,
VCU,C3032,1µF / 10V,5V_LOGIC,GND,VCC 储能,
VCU,C3033,100nF / 10V,3V3_LOGIC,GND,VIO 近端,
VCU,R3034,120Ω / 1% / 0.5W，默认 DNP,CAN3_H_BUS,CAN3_L_BUS,全总线只装两端,
BCM,R2011,10.0k / 0.1%,5V_LOGIC,FB_U201,反馈上阻,
BCM,R2012,2.49k / 0.1%,FB_U201,GND,反馈下阻，靠 AGND,
BCM,C2011,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
BCM,C2012,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
BCM,C2013,100nF / 50V,12V_PROT,GND,近 VIN；MPN/封装 H,
BCM,C2014,47µF / 50V 非陶瓷,12V_PROT,GND,储能预留；ESR/MPN H,
BCM,C2015,GRM32ER71A476KE15L / 47µF 10V,5V_LOGIC,GND,有效电容必须达表 7-1,
BCM,C2016,GRM32ER71A476KE15L / 47µF 10V,5V_LOGIC,GND,有效电容必须达表 7-1,
BCM,C2017,100nF / 10V,5V_LOGIC,GND,近输出；MPN/封装 H,
BCM,R2021,10.0k / 0.1%,3V3_LOGIC,FB_U202,反馈上阻,
BCM,R2022,4.32k / 0.1%,FB_U202,GND,反馈下阻，靠 AGND,
BCM,C2021,GRM32ER71H106KA12L / 10µF 50V,5V_LOGIC,GND,资料推荐；偏压/容量复核,
BCM,C2022,GRM32ER71H106KA12L / 10µF 50V,5V_LOGIC,GND,资料推荐；偏压/容量复核,
BCM,C2023,100nF / 50V,5V_LOGIC,GND,近 VIN；MPN/封装 H,
BCM,C2024,47µF / 50V 非陶瓷,5V_LOGIC,GND,储能预留；ESR/MPN H,
BCM,C2025,GRM32ER71A476KE15L / 47µF 10V,3V3_LOGIC,GND,有效电容必须达表 7-1,
BCM,C2026,GRM32ER71A476KE15L / 47µF 10V,3V3_LOGIC,GND,有效电容必须达表 7-1,
BCM,C2027,100nF / 10V,3V3_LOGIC,GND,近输出；MPN/封装 H,
BCM,R2031,10.0k / 0.1%,4V0_MODEM,FB_U203,反馈上阻,
BCM,R2032,3.32k / 0.1%,FB_U203,GND,反馈下阻，靠 AGND,
BCM,C2031,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
BCM,C2032,GRM32ER71H106KA12L / 10µF 50V,12V_PROT,GND,资料推荐；偏压/容量复核,
BCM,C2033,100nF / 50V,12V_PROT,GND,近 VIN；MPN/封装 H,
BCM,C2034,47µF / 50V 非陶瓷,12V_PROT,GND,储能预留；ESR/MPN H,
BCM,C2035,GRM32ER71A476KE15L / 47µF 10V,4V0_MODEM,GND,有效电容必须达表 7-1,
BCM,C2036,GRM32ER71A476KE15L / 47µF 10V,4V0_MODEM,GND,有效电容必须达表 7-1,
BCM,C2037,100nF / 10V,4V0_MODEM,GND,近输出；MPN/封装 H,
BCM,R3011,33Ω,CAN1_TX,CAN1_TXD_PHY,源端串阻起始值,
BCM,R3012,10k,CAN1_TXD_PHY,3V3_LOGIC,TXD 上拉，空闲隐性,
BCM,R3013,10k,CAN1_STB,3V3_LOGIC,STB 上拉，默认待机,
BCM,C3011,100nF / 10V,5V_LOGIC,GND,VCC 近端,
BCM,C3012,1µF / 10V,5V_LOGIC,GND,VCC 储能,
BCM,C3013,100nF / 10V,3V3_LOGIC,GND,VIO 近端,
BCM,R3014,120Ω / 1% / 0.5W，默认 DNP,CAN1_H_BUS,CAN1_L_BUS,全总线只装两端,
BCM,R3021,33Ω,CAN2_TX,CAN2_TXD_PHY,源端串阻起始值,
BCM,R3022,10k,CAN2_TXD_PHY,3V3_LOGIC,TXD 上拉，空闲隐性,
BCM,R3023,10k,CAN2_STB,3V3_LOGIC,STB 上拉，默认待机,
BCM,C3021,100nF / 10V,5V_LOGIC,GND,VCC 近端,
BCM,C3022,1µF / 10V,5V_LOGIC,GND,VCC 储能,
BCM,C3023,100nF / 10V,3V3_LOGIC,GND,VIO 近端,
BCM,R3024,120Ω / 1% / 0.5W，默认 DNP,CAN2_H_BUS,CAN2_L_BUS,全总线只装两端,
BCM,R3015,0Ω,CAN1_RX,CAN1_WAKE_RXD,只扇出到输入 PC12；不接推挽输出,
BCM,R3016,10k,CAN1_WAKE_RXD,3V3_LOGIC,掉电 RXD 高阻时偏置,
VCU,R4101,33Ω，允许 SI 验证后调整,MAX_SCK,MAX_SCK_PHY,靠 MCU 源端；三颗下游共享,
VCU,R4102,33Ω，允许 SI 验证后调整,MAX_MOSI,MAX_MOSI_PHY,靠 MCU 源端；三颗下游共享,
VCU,R4011,10k,MAX_CS_A,3V3_LOGIC,片选上拉,
VCU,R4012,10k,MAX_IRQ_A,3V3_LOGIC,开漏上拉,
VCU,R4013,10k,MAX_RST_A,GND,默认复位,
VCU,R4014,10k,U401_CTS0,GND,流控禁用基线,
VCU,R4015,10k,U401_CTS1,GND,流控禁用基线,
VCU,R4016,10k,U401_CTS2,GND,流控禁用基线,
VCU,R4017,10k,U401_CTS3,GND,流控禁用基线,
VCU,C4011,100nF / 10V,3V3_LOGIC,GND,靠 U401.9,
VCU,C4012,100nF / 10V,3V3_LOGIC,GND,靠 U401.43,
VCU,C4013,100nF / 10V,3V3_LOGIC,GND,靠 U401.47,
VCU,C4014,1µF / 6.3V,U401_V18,GND,近 48 脚，不装到 3V3,
VCU,Y401,1.8432MHz 晶体 / CL、ESR H,U401_XIN,U401_XOUT,内部各 16pF；实际晶体待核验,
VCU,R4021,10k,MAX_CS_B,3V3_LOGIC,片选上拉,
VCU,R4022,10k,MAX_IRQ_B,3V3_LOGIC,开漏上拉,
VCU,R4023,10k,MAX_RST_B,GND,默认复位,
VCU,R4024,10k,U402_CTS0,GND,流控禁用基线,
VCU,R4025,10k,U402_CTS1,GND,流控禁用基线,
VCU,R4026,10k,U402_CTS2,GND,流控禁用基线,
VCU,R4027,10k,U402_CTS3,GND,流控禁用基线,
VCU,C4021,100nF / 10V,3V3_LOGIC,GND,靠 U402.9,
VCU,C4022,100nF / 10V,3V3_LOGIC,GND,靠 U402.43,
VCU,C4023,100nF / 10V,3V3_LOGIC,GND,靠 U402.47,
VCU,C4024,1µF / 6.3V,U402_V18,GND,近 48 脚，不装到 3V3,
VCU,Y402,1.8432MHz 晶体 / CL、ESR H,U402_XIN,U402_XOUT,内部各 16pF；实际晶体待核验,
VCU,R4031,10k,MAX_CS_C,3V3_LOGIC,片选上拉,
VCU,R4032,10k,MAX_IRQ_C,3V3_LOGIC,开漏上拉,
VCU,R4033,10k,MAX_RST_C,GND,默认复位,
VCU,R4034,10k,U403_CTS0,GND,流控禁用基线,
VCU,R4035,10k,U403_CTS1,GND,流控禁用基线,
VCU,R4036,10k,U403_CTS2,GND,流控禁用基线,
VCU,R4037,10k,U403_CTS3,GND,流控禁用基线,
VCU,C4031,100nF / 10V,3V3_LOGIC,GND,靠 U403.9,
VCU,C4032,100nF / 10V,3V3_LOGIC,GND,靠 U403.43,
VCU,C4033,100nF / 10V,3V3_LOGIC,GND,靠 U403.47,
VCU,C4034,1µF / 6.3V,U403_V18,GND,近 48 脚，不装到 3V3,
VCU,Y403,1.8432MHz 晶体 / CL、ESR H,U403_XIN,U403_XOUT,内部各 16pF；实际晶体待核验,
BCM,R4011,150Ω / 1% / 0.25W,ACT_FB_RAW,GND,电流取样，不可遗漏,
BCM,R4012,15k,ACT_SF,3V3_LOGIC,SF 上拉，不能改 4.7k,
BCM,R4013,4.7k,ACT_FB_RAW,ACT_FB_ADC,ADC 串阻起始值；钳位电路仍 H,
BCM,R4014,2.2k,ACT_IN1_HW,GND,抵抗内部拉流,
BCM,R4015,2.2k,ACT_IN2_HW,GND,抵抗内部拉流,
BCM,R4016,2.2k,ACT_EN_HW,GND,默认睡眠,
BCM,R4017,2.2k,ACT_D2_HW,GND,默认禁止,
BCM,R4018,2.2k,ACT_D1_HW,3V3_LOGIC,高禁止；掉电反灌须核验,
BCM,C4011,33nF / 50V,ACT_CCP,12V_ACT,电荷泵，不接地,
BCM,C4012,1nF / 10V,ACT_FB_RAW,GND,FB 滤波起始值,
BCM,C4013,100nF / 50V,12V_ACT,GND,近桥去耦,
BCM,C4014,10µF / 50V,12V_ACT,GND,陶瓷去耦,
BCM,C4015,470µF / 35V 低 ESR,12V_ACT,GND,再生/浪涌/纹波 H,
