板,器件,焊盘,脚名,网络,连接去向/处理,状态,人工勾选
VCU,U201,1,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U201,2,EN,12V_PROT,直接接本单元 VIN,不得悬空；UVLO 另核,
VCU,U201,3,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U201,4,DNC,DNC_U201_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U201,5,DNC,DNC_U201_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U201,6,PGOOD,TP_PG_U201,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
VCU,U201,7,VOUT,5V_LOGIC,输出电容正端及负载,两脚均接,
VCU,U201,8,VOUT,5V_LOGIC,输出电容正端及负载,两脚均接,
VCU,U201,9,FB,FB_U201,R2011.2 与 R2012.1,安静采样点,
VCU,U201,10,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U201,11,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U201,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
VCU,U201,13,V5V,NC_U201_V5V,不连接负载,内部 LDO，不当系统 5V,
VCU,U201,14,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U201,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
VCU,U202,1,VIN,5V_LOGIC,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U202,2,EN,5V_LOGIC,直接接本单元 VIN,不得悬空；UVLO 另核,
VCU,U202,3,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U202,4,DNC,DNC_U202_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U202,5,DNC,DNC_U202_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U202,6,PGOOD,TP_PG_U202,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
VCU,U202,7,VOUT,3V3_LOGIC,输出电容正端及负载,两脚均接,
VCU,U202,8,VOUT,3V3_LOGIC,输出电容正端及负载,两脚均接,
VCU,U202,9,FB,FB_U202,R2021.2 与 R2022.1,安静采样点,
VCU,U202,10,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U202,11,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U202,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
VCU,U202,13,V5V,NC_U202_V5V,不连接负载,内部 LDO，不当系统 5V,
VCU,U202,14,VIN,5V_LOGIC,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U202,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
VCU,U203,1,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U203,2,EN,12V_PROT,直接接本单元 VIN,不得悬空；UVLO 另核,
VCU,U203,3,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U203,4,DNC,DNC_U203_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U203,5,DNC,DNC_U203_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
VCU,U203,6,PGOOD,TP_PG_U203,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
VCU,U203,7,VOUT,5V_SENSOR_RAW,输出电容正端及负载,两脚均接,
VCU,U203,8,VOUT,5V_SENSOR_RAW,输出电容正端及负载,两脚均接,
VCU,U203,9,FB,FB_U203,R2031.2 与 R2032.1,安静采样点,
VCU,U203,10,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U203,11,NC,GND,按资料建议接 PGND,不是 DNC,
VCU,U203,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
VCU,U203,13,V5V,NC_U203_V5V,不连接负载,内部 LDO，不当系统 5V,
VCU,U203,14,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
VCU,U203,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
VCU,U301,1,TXD,CAN1_TXD_PHY,经 R3011 到 U101.109 (PD1),S04 脚位 V；保护/布线待验证,
VCU,U301,2,GND,GND,逻辑地,S04 脚位 V；保护/布线待验证,
VCU,U301,3,VCC,5V_LOGIC,100nF + 1µF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U301,4,RXD,CAN1_RX,U101.108 (PD0),S04 脚位 V；保护/布线待验证,
VCU,U301,5,VIO,3V3_LOGIC,100nF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U301,6,CANL,CAN1_L_PHY,经所选接口保护/CMC 到 L,S04 脚位 V；保护/布线待验证,
VCU,U301,7,CANH,CAN1_H_PHY,经所选接口保护/CMC 到 H,S04 脚位 V；保护/布线待验证,
VCU,U301,8,STB,CAN1_STB,U101.90 (PA9),S04 脚位 V；保护/布线待验证,
VCU,U302,1,TXD,CAN2_TXD_PHY,经 R3021 到 U101.67 (PB13),S04 脚位 V；保护/布线待验证,
VCU,U302,2,GND,GND,逻辑地,S04 脚位 V；保护/布线待验证,
VCU,U302,3,VCC,5V_LOGIC,100nF + 1µF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U302,4,RXD,CAN2_RX,U101.66 (PB12),S04 脚位 V；保护/布线待验证,
VCU,U302,5,VIO,3V3_LOGIC,100nF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U302,6,CANL,CAN2_L_PHY,经所选接口保护/CMC 到 L,S04 脚位 V；保护/布线待验证,
VCU,U302,7,CANH,CAN2_H_PHY,经所选接口保护/CMC 到 H,S04 脚位 V；保护/布线待验证,
VCU,U302,8,STB,CAN2_STB,U101.91 (PA10),S04 脚位 V；保护/布线待验证,
VCU,U303,1,TXD,CAN3_TXD_PHY,经 R3031 到 U101.99 (PA15),S04 脚位 V；保护/布线待验证,
VCU,U303,2,GND,GND,逻辑地,S04 脚位 V；保护/布线待验证,
VCU,U303,3,VCC,5V_LOGIC,100nF + 1µF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U303,4,RXD,CAN3_RX,U101.89 (PA8),S04 脚位 V；保护/布线待验证,
VCU,U303,5,VIO,3V3_LOGIC,100nF 去耦,S04 脚位 V；保护/布线待验证,
VCU,U303,6,CANL,CAN3_L_PHY,经所选接口保护/CMC 到 L,S04 脚位 V；保护/布线待验证,
VCU,U303,7,CANH,CAN3_H_PHY,经所选接口保护/CMC 到 H,S04 脚位 V；保护/布线待验证,
VCU,U303,8,STB,CAN3_STB,U101.62 (PB10),S04 脚位 V；保护/布线待验证,
BCM,U201,1,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
BCM,U201,2,EN,12V_PROT,直接接本单元 VIN,不得悬空；UVLO 另核,
BCM,U201,3,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U201,4,DNC,DNC_U201_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U201,5,DNC,DNC_U201_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U201,6,PGOOD,TP_PG_U201,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
BCM,U201,7,VOUT,5V_LOGIC,输出电容正端及负载,两脚均接,
BCM,U201,8,VOUT,5V_LOGIC,输出电容正端及负载,两脚均接,
BCM,U201,9,FB,FB_U201,R2011.2 与 R2012.1,安静采样点,
BCM,U201,10,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U201,11,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U201,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
BCM,U201,13,V5V,NC_U201_V5V,不连接负载,内部 LDO，不当系统 5V,
BCM,U201,14,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
