板,位号,型号,封装,作用,来源
VCU,U201,TPSM53603RDAR,B3QFN RDA-15,12V_PROT → 5V_LOGIC,S03
VCU,U202,TPSM53603RDAR,B3QFN RDA-15,5V_LOGIC → 3V3_LOGIC,S03
VCU,U203,TPSM53603RDAR,B3QFN RDA-15,12V_PROT → 5V_SENSOR_RAW,S03
VCU,U301,TCAN1044AVDRQ1,SOIC-8 D,CAN1,S04
VCU,U302,TCAN1044AVDRQ1,SOIC-8 D,CAN2,S04
VCU,U303,TCAN1044AVDRQ1,SOIC-8 D,CAN3,S04
BCM,U201,TPSM53603RDAR,B3QFN RDA-15,12V_PROT → 5V_LOGIC,S03
BCM,U202,TPSM53603RDAR,B3QFN RDA-15,5V_LOGIC → 3V3_LOGIC,S03
BCM,U203,TPSM53603RDAR,B3QFN RDA-15,12V_PROT → 4V0_MODEM,S03
BCM,U301,TCAN1044AVDRQ1,SOIC-8 D,CAN1,S04
BCM,U302,TCAN1044AVDRQ1,SOIC-8 D,CAN2,S04
VCU,U401,MAX14830ETM+,TQFN48+EP / T4877+3,四个 UART / A,S01
VCU,U402,MAX14830ETM+,TQFN48+EP / T4877+3,四个 UART / B,S01
VCU,U403,MAX14830ETM+,TQFN48+EP / T4877+3,四个 UART / C,S01
BCM,U401,MC33926PNBR2,PQFN32+EP / 98ARL10579D,推杆 H 桥,S02
