编号,项目,板号/版本/条件,实测值,限值依据,证据编号,结论,测试/复核/日期
T01,文件与实物一致性,,,,,,
T02,断电电阻与连续性,,,,,,
T03,分阶段首次上电,,,,,,
T04,电源轨与纹波,,,,,,
T05,默认关闭与下载,,,,,,
T06,复位欠压再使能,,,,,,
T07,Buck 负载与热,,,,,,
T08,传感器端口隔离,,,,,,
T09,通信外设反灌,,,,,,
T10,CAN 物理层,,,,,,
T11,MAX/12 UART,,,,,,
T12,BMS/无线,,,,,,
T13,继电器/K1,,,,,,
T14,锁与反馈,,,,,,
T15,推杆方向与限位,,,,,,
T16,推杆带载/堵转/再生,,,,,,
T17,4G 电源维护,,,,,,
T18,SHT 热偏差,,,,,,
T19,急停断线短线,,,,,,
T20,看门狗与锁存,,,,,,
T21,八轴/抱闸/接触器,,,,,,
T22,断地电流路径,,,,,,
T23,同时负载/外壳热,,,,,,
T24,线束机械环境,,,,,,
T25,干扰预检回归,,,,,,
T26,最终放行,,,,,,
