ID,文件,名称,来源URL,SHA256,说明
S01,MAX14830.pdf,Analog Devices / MAX14830 数据手册,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX14830.pdf,c05f2499bd5bf975f1b21893e46f6e86d43e6285569b5815c16ed01046cbde93,厂家原始 PDF
S02,MC33926.pdf,Freescale / MC33926 Rev.10.0，2014-08,https://www.pololu.com/file/0J233/MC33926.pdf,57dfd6b3fb4fdb3ff8a235b6c1ff6196c8ac23d71ea9478127f0ee5cb0c672c2,Pololu 镜像的厂家 PDF；PNB/PQFN32；当前生命周期未核验
S03,TPSM53603.pdf,TI / SNVSB77B，2021-09 修订,https://www.ti.com/lit/ds/symlink/tpsm53603.pdf,9a61134eb67f36b82310b5c56746d9a004baaf51966168e84d920a302254fa5d,厂家 PDF
S04,TCAN1044A-Q1.pdf,TI / SLLSFJ3D，2024-10 修订,https://www.ti.com/lit/ds/symlink/tcan1044a-q1.pdf,772463ba2db13b7d56722516300abe846c982aeb315b8e3726e60df13de306e1,含 AV 变体；厂家 PDF
S05,STM32G474Q_B-C-E_Tx.xml,ST 官方 MCU 引脚数据库 G474Q,https://api.github.com/repos/STMicroelectronics/STM32_open_pin_data/contents/mcu/STM32G474Q(B-C-E)Tx.xml?ref=master,ef1859d9450021f8c54aec9c00e8650816a4a0426cf351b0ff1fa76a1aa25a77,blob d9c52b4725451407ec54c877732ffd71bde67cee；不是电气数据手册
S06,STM32G491V_C-E_Tx.xml,ST 官方 MCU 引脚数据库 G491V,https://api.github.com/repos/STMicroelectronics/STM32_open_pin_data/contents/mcu/STM32G491V(C-E)Tx.xml?ref=master,f8480c7baa618dfe83c46e1b614c4d1f634faaad7139f9fc522a37494fc85813,blob a04f9a00c77e25860360e857e4470f1ec9209114；不是电气数据手册
S07,MSSD-100EMA_2EC_N_彩页.pdf,MSEAG MSSD-100EMA_2EC_N 产品彩页,用户提供的商户资料原件,cba59f694bf6ec572c080ba568cf719bd1ca7b637251d673e1904724eac426a0,3 页图片型资料；核验输入/输出电流、功能、尺寸与接口分组，不含端子针号和安全手册
S08,MSSD-2EC_CAN协议_V1.0.pdf,MSSD-2EC 系列 CAN 通讯协议及寄存器说明书 V1.0,用户提供的商户资料原件,2853a9d972696845e66e4e284bfeb0fcb6808744a100e62d10b7e955098b0c1b,明确为 11 位标准帧的厂家自定义经典 CAN，暂不支持 CANopen；完整寄存器表仍依赖未取得的 RS485 手册
S09,SM60E规格书_20260611.pdf,SM60E 电磁锁规格书，图号 SHMi20260611SM60E,用户提供的商户资料原件,32ed04a842ff953ba1e5477e9344ea8cf1631654a357983e03bf2c4538a2c7e1,图片型机械图；核验 12V/24V 电气、60kg 标称最大吸力、红黑功率和双白反馈；反馈电气类型未定义
S10,DM-J10010L-2EC/说明书/DM-J10010L-2EC减速电机说明书V1.1.pdf,达妙 DM-J10010L-2EC 减速电机使用说明书 V1.1,用户提供的 DM-J10010L-2EC 资料目录,b367bbb2797336bf71c74c05f1c3ce29653ee614ee8e202773228bd5150403b5,13 页；核验 24～48V、主要电机参数、经典 CAN 标准帧、默认 1Mbps、控制模式和寄存器；使能/失能、D0 位定义、TIMEOUT 和硬件安全仍缺失/矛盾
S11,DM-J10010L-2EC/2D图纸/dm-l10010.pdf,DM-J10010L 2D 图纸 A,用户提供的 DM-J10010L-2EC 资料目录,db2aa47a41e798bdd101d294a74f09cb81b36ae502abddd1345e45d5c9b7981e,单页图片型尺寸图；约 Ø120×53mm、安装/输出孔系；无明确受控修订关系
S12,DM-J10010L-2EC/2D图纸/dm-j10010l-2ec-2D尺寸图.pdf,DM-J10010L-2EC 2D 图纸 B,用户提供的 DM-J10010L-2EC 资料目录,4f677c3c93ed2de699f96ed8110e464bdda9c719e37d61645503513835532263,单页图片型尺寸图；与 S11 图面高度相似但摘要不同，投产前需厂家确认主版本
S13,DM-J10010L-2EC/3D模型/dm-j10010l-0730_1.STEP,DM-J10010L STEP 模型,用户提供的 DM-J10010L-2EC 资料目录,c9df4b76899ec5a236807b730850aad79093ced8f75c1c0446defe10879ed57a,STEP AP203，文件元数据显示 2024-07-30/SolidWorks 2022；只作布置候选，需与实物和 V1.1 图纸复核
S14,DM-J10010L-2EC/3D模型/dm-j10010l-240726_1.SLDPRT,DM-J10010L SolidWorks 零件模型,用户提供的 DM-J10010L-2EC 资料目录,27700279c5dfede6ada77619d7de9a73863c90dace8489c78bcd4e612b2caa42,原始机械零件文件；未在本环境中验证 SolidWorks 特征/版本兼容性
S15,DM-J10010L-2EC/3D模型/dm-j10010l-240726.sldasm.7z,DM-J10010L SolidWorks 装配压缩包,用户提供的 DM-J10010L-2EC 资料目录,6c62394639be053703130c7e42639336c8b09f8d89245dad4e1a6a0e740ad61c,原始压缩装配资料；发布/制造前在受支持 CAD 中解压并检查引用完整性
S16,DM-J10010L-2EC/测试数据/性能曲线/48V 100RPM 10010L电机性能曲线图.png,DM-J10010L 48V/100RPM 性能曲线,用户提供的 DM-J10010L-2EC 资料目录,eb4a4e068437cb5926f83183aaa24a18ab00e98fbccec10a73b30c426b07dfd8,曲线图片约覆盖 0～55N·m；无原始数据、试验条件、持续时间和不确定度，不能外推 120N·m 峰值或寿命
